"inspection_id","dba_name","aka_name","license_","facility_type","risk","address","city","state","zip","inspection_date","inspection_type","results","latitude","longitude"
"134237","FUNSTON  ELEMENTARY  SCHOOL","FUNSTON ELEMENTARY SCH. MAIN BUILDING","2112648","School","Risk 1 (High)","2010 N CENTRAL  PARK AVE BLDG ","CHICAGO","IL","60647","2010-01-05T00:00:00.000","Canvass","Pass","41.91762127382847","-87.71692852023781"
"134238","FUNSTON ANNEX ELEM. SCHOOL","FUNSTON (ANNEX) ELEM. SCHOOL","1964634","School","Risk 1 (High)","3616 W ARMITAGE AVE ","CHICAGO","IL","60647","2010-01-05T00:00:00.000","Canvass","Pass","41.91738381273884","-87.71746411595915"
"134239","BORNIQUEN RESTAURANT","BORNIQUEN RESTAURANT","32942","Restaurant","Risk 1 (High)","1720 N CALIFORNIA AVE","CHICAGO","IL","60647","2010-01-05T00:00:00.000","Complaint","Fail","41.912691923355744","-87.69720455176802"
"154218","ROBINSON'S RIBS","ROBINSON'S RIBS","45998","Restaurant","Risk 1 (High)","655 W ARMITAGE AVE ","CHICAGO","IL","60614","2010-01-05T00:00:00.000","Canvass","Pass","41.91810807444473","-87.6458831775194"
"154219","SEDGWICK'S","SEDGWICK'S","30486","Restaurant","Risk 1 (High)","1935 N SEDGWICK ST ","CHICAGO","IL","60614","2010-01-05T00:00:00.000","Canvass","Pass","41.91755928707187","-87.63864526243658"
"158242","SOUTH SIDE FUEL CTR/DUNKIN DOUGHNUTS","SOUTH SIDE FUEL CTR/DUNKIN DOUGHNUTS","66827","GAS STATION/RESTAURANT","Risk 2 (Medium)","970 W PERSHING RD ","CHICAGO","IL","60609","2010-01-05T00:00:00.000","Canvass","Pass w/ Conditions","41.82350359266238","-87.65066637652201"
"158243","DUNKIN DONUTS",,"2013344","Restaurant","Risk 2 (Medium)","970 W PERSHING RD ","CHICAGO","IL","60609","2010-01-05T00:00:00.000","License","Fail","41.82350359266238","-87.65066637652201"
"158244","PARK PACKING OF CHICAGO, INC","PARK PACKING","2008956","Grocery Store","Risk 2 (Medium)","1544 W 41ST ST ","CHICAGO","IL","60609","2010-01-05T00:00:00.000","License Re-Inspection","Pass","41.819159444267484","-87.66423535543835"
"160206","PAKEEZA","PAKEEZA","1991022","Restaurant","Risk 1 (High)","1009-1011 N ORLEANS ST ","CHICAGO","IL","60610","2010-01-05T00:00:00.000","License Re-Inspection","Pass","41.900827710854195","-87.63718892231834"
"160207","LOVEBUGS, TODDLER PROGRAMS AND PRESCHOOL, LLC","LOVEBUGS, TODDLER PROGRAMS AND PRESCHOOL, LLC","1916128","Daycare (2 - 6 Years)","Risk 1 (High)","1327 N LARRABEE ST ","CHICAGO","IL","60610","2010-01-05T00:00:00.000","License","Pass","41.90586605268696","-87.6431361964551"
"160208","LOVEBUGS, TODDLER PROGRAMS AND PRESCHOOL, LLC","LOVEBUGS, TODDLER PROGRAMS AND PRESCHOOL, LLC","1820997",,"Risk 1 (High)","1327 N LARRABEE ST ","CHICAGO","IL","60610","2010-01-05T00:00:00.000","Out of Business","Pass","41.90586605268696","-87.6431361964551"
"160209","CHICAGO SINAI CONGREGATION","CHICAGO SINAI CONGREGATION","75567","Daycare (2 - 6 Years)","Risk 1 (High)","15 W DELAWARE PL ","CHICAGO","IL","60610","2010-01-05T00:00:00.000","License","Fail","41.899021699577446","-87.62892425348232"
"160210","ST CHRYSOSTOM'S CHURCH DAY SCHOOL","ST CHRYSOSTOM'S CHURCH DAY SCHOOL","20575","Daycare (2 - 6 Years)","Risk 1 (High)","1424 N DEARBORN ST ","CHICAGO","IL","60610","2010-01-05T00:00:00.000","License","Fail","41.90854430698586","-87.6302719697274"
"164252","SUPER DOG'S SUBMARINES INC","SUPER DOG'S SUBMARINES INC","2008759","Restaurant","Risk 2 (Medium)","1442 W 103RD ST","CHICAGO","IL","60643","2010-01-05T00:00:00.000","License","Fail","41.70685163282266","-87.65894640986417"
"164254","POPEYES CHICKEN","POPEYES CHICKEN","1798522","Restaurant","Risk 1 (High)","7250 S WESTERN AVE ","CHICAGO","IL","60636","2010-01-05T00:00:00.000","Short Form Complaint","Pass","41.761368557146056","-87.68329737623583"
"164255","RAINBOW GROCERY","RAINBOW GROCERY","61801","Grocery Store","Risk 3 (Low)","2003 W 69TH ST ","CHICAGO","IL","60636","2010-01-05T00:00:00.000","Canvass Re-Inspection","Pass","41.76832833480071","-87.67381938402684"
"164256","SAFAH FOOD & LIQUOR INC","SAFAH FOOD & LIQUOR INC","14103","Grocery Store","Risk 3 (Low)","7105 S RACINE AVE","CHICAGO","IL","60636","2010-01-05T00:00:00.000","Canvass Re-Inspection","Pass","41.76489640024705","-87.65396483351302"
"54214","DUNKIN DONUTS / BASKIN ROBBINS","DUNKIN DONUTS / BASKIN ROBBINS","1649847","Restaurant","Risk 2 (Medium)","800 N KEDZIE AVE ","CHICAGO","IL","60651","2010-01-06T00:00:00.000","Canvass","Pass w/ Conditions","41.89561531354531","-87.70670532510552"
"54215","J & J FISH","J & J FISH","1194275","Restaurant","Risk 2 (Medium)","800 N KEDZIE AVE ","CHICAGO","IL","60651","2010-01-06T00:00:00.000","Complaint","Pass","41.89561531354531","-87.70670532510552"
"54216","BLUE SHARKS","BLUE SHARKS","1974637","Restaurant","Risk 2 (Medium)","3450 W CHICAGO AVE ","CHICAGO","IL","60651","2010-01-06T00:00:00.000","Complaint","Pass w/ Conditions","41.89559733446603","-87.71344866525071"
"58227","DUNKIN DONUTS","DUNKIN DONUTS","2013341","Restaurant","Risk 2 (Medium)","2805 W DIVISION ST ","CHICAGO","IL","60622","2010-01-06T00:00:00.000","License Re-Inspection","Pass","41.90281332978524","-87.69712881362462"
"58228","PODHALANKA RESTAURANT","PODHALANKA RESTAURANT","10559","Restaurant","Risk 1 (High)","1549 W DIVISION ST","CHICAGO","IL","60642","2010-01-06T00:00:00.000","Canvass","Fail","41.90324286545451","-87.66706204782344"
"58229","FILTER COFFEE LOUNGE","FILTER","2013495","Restaurant","Risk 1 (High)","1373 N MILWAUKEE AVE ","CHICAGO","IL","60622","2010-01-06T00:00:00.000","Consultation","Fail","41.90686820755232","-87.67174891786233"
"58230","CHICAGO CAFE CATERERS","CHICAGO CAFE CATERERS","1932046","Catering","Risk 1 (High)","1629 W GRAND AVE ","CHICAGO","IL","60622","2010-01-06T00:00:00.000","Canvass","Pass","41.89085551482435","-87.66830289784055"
"58231","DeLux Bar & Grill","DeLux Bar & Grill","1332477","Restaurant","Risk 1 (High)","669 N MILWAUKEE AVE ","CHICAGO","IL","60642","2010-01-06T00:00:00.000","Canvass","Pass","41.89383440427957","-87.6514628691263"
"60245","STAR GYROS","STAR GYROS","50600","Restaurant","Risk 1 (High)","3400 W ROOSEVELT RD ","CHICAGO","IL","60624","2010-01-06T00:00:00.000","Complaint","Pass","41.866457268921884","-87.71066733173923"
"60246","HOOK FISH & CHICKEN ON MADISON, INC.","HOOK FISH & CHICKEN ON MADISON, INC.","1868125","Restaurant","Risk 2 (Medium)","3952 W MONROE ST ","CHICAGO","IL","60624","2010-01-06T00:00:00.000","Complaint","Fail","41.8798749138472","-87.7252903599048"
"60247","Metropolitan Primary Academy",,"1878468","School","Risk 1 (High)","4540 W Washington BLVD ","CHICAGO","IL","60624","2010-01-06T00:00:00.000","Tag Removal","Pass","41.88199038225182","-87.73964834803952"
"60248","BOOM FRIED RICE","BOOM FRIED RICE","6698","Restaurant","Risk 1 (High)","356 S PULASKI RD ","CHICAGO","IL","60624","2010-01-06T00:00:00.000","Canvass","Fail","41.87537501581776","-87.72563428263534"
"67761","GARFIELD SHELL","GARFIELD SHELL","55267","Grocery Store","Risk 2 (Medium)","801 W 55TH BLVD ","CHICAGO","IL","60621","2010-01-06T00:00:00.000","Complaint Re-Inspection","Pass","41.79383347430859","-87.64520727494734"
"67762","DANNYS TACOS #2","DANNYS TACOS #2","1998643","Restaurant","Risk 1 (High)","9220 S COTTAGE GROVE ST BLDG ","CHICAGO","IL","60619","2010-01-06T00:00:00.000","License Re-Inspection","Fail","41.72685341729835","-87.60473617035775"
"67763","SAN MIGUEL BAKERY INC.","SAN MIGUEL BAKERY INC.","1381258","Bakery","Risk 2 (Medium)","1607 W MONTROSE AVE ","CHICAGO","IL","60613","2010-01-06T00:00:00.000","Canvass","Fail","41.961477015001726","-87.66957102980291"
"67764","DONA TORTA","DONA TORTA","1354422","Restaurant","Risk 1 (High)","3057 N ASHLAND AVE ","CHICAGO","IL","60657","2010-01-06T00:00:00.000","Canvass","Pass w/ Conditions","41.937758881866735","-87.66844527293962"
"67765","ZAVALA'S GROCERY STORE INC","ZAVALA'S GROCERY STORE INC","1044988","Grocery Store","Risk 1 (High)","2657 S KOLIN AVE ","CHICAGO","IL","60623","2010-01-06T00:00:00.000","Canvass","Pass","41.84242345697442","-87.73287256769933"
"67767","ARMITAGE PRODUCE INC","ARMITAGE PRODUCE","1771323","Grocery Store","Risk 1 (High)","2007 N KIMBALL AVE ","CHICAGO","IL","60647","2010-01-06T00:00:00.000","Complaint Re-Inspection","Pass","41.91756241889966","-87.7117551086784"
"67768","MCDONALD'S #490","MCDONALD'S #490","81721","Restaurant","Risk 2 (Medium)","10320 S KEDZIE AVE ","CHICAGO","IL","60655","2010-01-06T00:00:00.000","Short Form Complaint","Fail","41.70552029655878","-87.70145804220182"
"67769","MCDONALDS #5471","MCDONALD'S","54687","Restaurant","Risk 2 (Medium)","4338 W NORTH AVE","CHICAGO","IL","60639","2010-01-06T00:00:00.000","Complaint","Pass","41.90988086805636","-87.73515820036943"
"67770","WE 8 INCORPORATED","CITGO","1598242","Grocery Store","Risk 3 (Low)","210 W 103RD ST ","CHICAGO","IL","60628","2010-01-06T00:00:00.000","Short Form Complaint","Pass","41.707206116169495","-87.62881500236827"
"67771","PHILLY'S BEST","PHILLY'S BEST","1520673","Restaurant","Risk 1 (High)","907 W BELMONT AVE ","CHICAGO","IL","60657","2010-01-06T00:00:00.000","Canvass","Fail","41.939834292931025","-87.6518824218835"
"67772","DuBois","DuBois","26601","School","Risk 1 (High)","330 E 133rd  (13300S) ST ","CHICAGO","IL","60827","2010-01-06T00:00:00.000","Canvass","Pass","41.65376037450995","-87.61434155910457"
"67773","LOS SAUCES TAQUERIA","LOS SAUCES TAQUERIA","1914003","Restaurant","Risk 1 (High)","2700 S TRUMBULL AVE ","CHICAGO","IL","60623","2010-01-06T00:00:00.000","Complaint","Pass w/ Conditions","41.84251234796448","-87.71122481384815"
"67774","CHURCH'S CHICKEN # 1414","CHURCH'S CHICKEN","1273251","Restaurant","Risk 2 (Medium)","4812 W NORTH AVE","CHICAGO","IL","60639","2010-01-06T00:00:00.000","Complaint","Pass","41.909728821309805","-87.74663995182914"
"67775","BAMBOO GARDEN RESTAURANT","BAMBOO GARDEN","1741769","Restaurant","Risk 1 (High)","3203 N CLARK ST ","CHICAGO","IL","60657","2010-01-06T00:00:00.000","Canvass","Pass","41.94015622939006","-87.65067300995842"
"67776","WENDY'S","WENDY'S","1145749","Restaurant","Risk 2 (Medium)","7 E 111TH ST ","CHICAGO","IL","60628","2010-01-06T00:00:00.000","Short Form Complaint","Pass","41.692476323226515","-87.62284191735947"
"67777","UNCOMMON GROUND","UNCOMMON GROUND","1491426","Restaurant","Risk 1 (High)","3800 N CLARK ST","CHICAGO","IL","60613","2010-01-06T00:00:00.000","Complaint","Fail","41.951064053085005","-87.65979512802838"
"67778","LOS ARCOS PIZZERIA","LOS ARCOS PIZZERIA","2004575","Restaurant","Risk 1 (High)","6102 W DIVERSEY AVE ","CHICAGO","IL","60639","2010-01-06T00:00:00.000","License Re-Inspection","Pass","41.93121276602796","-87.77853673674818"
"67780","DOMINO'S PIZZA","DOMINO'S PIZZA","36834","Restaurant","Risk 2 (Medium)","4039 W 26TH ST ","CHICAGO","IL","60623","2010-01-06T00:00:00.000","Canvass","Pass","41.84412236458153","-87.72602913672753"
"67781","POTBELLY SANDWICH WORKS","POTBELLY SANDWICH WORKS","1841496","Restaurant","Risk 1 (High)","924 W BELMONT AVE ","CHICAGO","IL","60657","2010-01-06T00:00:00.000","Canvass","Pass","41.94004450704706","-87.65253926108572"
"67782","SUBWAY","SUBWAY","1841435","Restaurant","Risk 1 (High)","11629 S HALSTED ST ","CHICAGO","IL","60628","2010-01-06T00:00:00.000","Complaint","Pass","41.683002486274","-87.64193645288934"
"67783","STEVE'S LOUNGE","STEVE'S LOUNGE","833","Restaurant","Risk 1 (High)","13200 S BALTIMORE AVE ","CHICAGO","IL","60633","2010-01-06T00:00:00.000","Complaint","Pass","41.655416650555715","-87.54729079495272"
